"id","site","long","lat","state","pi","depth","ASH","BEECH","BIRCH","ELM","HEMLOCK","MAPLE","OAK","OTHER.CONIFER","OTHER.HARDWOOD","PINE","SPRUCE","TAMARACK"
"967","Goldsmith Lake",-92.466667,46.583333,"minnesota","McAndrews, John H.",20,0,0,61,5,2,0,17,2,15,182,12,2
"10976","Goose Lake",-94.596,44.995,"minnesota","Cushing, Edward J.",30,13,0,16,22,2,2,104,0,69.5,31,2,0
"990","Grice Pond",-95.75,47.2,"minnesota","McAndrews, John H.",20,3,0,92,20,0,0,82,1,46,82,4,1
"3131","Hell's Kitchen Lake",-89.7,46.183333,"wisconsin","Swain, Albert M.",80,4,0,106,3,40,5,11,2,37,111,5,3
"1032","Hemo Pond",-95.783333,47.216667,"minnesota","McAndrews, John H.",60,6,0,56,13,0,1,91,2,46,83,3,0
"1109","Horse Pond",-95.872222,47.190278,"minnesota","McAndrews, John H.",30,6,0,39,7,0,3,56,1,40,80,8,0
"1111","Hostage Lake",-94.133333,46.55,"minnesota","Almendinger, John C.",40,3,0,25,3,0,3,21,0,20,213,1.5,3.5
"1134","Hug Lake",-90.933333,47.958333,"minnesota","Swain, Albert M.",22,1,0,65,1,2,1,5,8,94,134,52,3
"1138","Hustler Lake",-92.158333,48.233333,"minnesota","Shane, Linda C. K.",23.75,0,0,25,4,2,2,8,3,17,150,34,4
"1151","Iola Bog",-89.116944,44.5,"wisconsin","Maher, Louis J., Jr.",90,2,0,23,11,0,2,42,0,26,145,0,0
"1153","Irvin Lake",-93.643611,47.135556,"minnesota","Cushing, Edward J.",20,2,0,165,4,0,12,15,3.5,39,173.5,6,5
"13047","Irwin Smith Bog",-83.64,45.035,"michigan:south","Jackson, Steven T.",13.5,1,4,15,1,28,3,5,1,3,145,6,0
"3138","Jacobson Lake",-92.716944,46.416944,"minnesota","Watts, William A.",125,1,0,64,3,0,3,15,9,9,225,1,2
"15274","Jones Lake (US:Minnesota)",-93.983333,45.429167,"minnesota","McAndrews, John H.",20,9,0,27,9,0,4,135,0,55,106,2,1
"1446","Kegan Lake",-93.116667,44.758333,"minnesota","McAndrews, John H.",30,4,0,25,13,0,1,148,0,21,83,0,0
"3452","Kellys Hollow",-90.35,45.3,"wisconsin","Heide, Kathleen M.",21,4,0,92,4,65,6,9,1,11,71,5,3
"1448","Kellners Lake",-87.848056,44.238056,"wisconsin","Maher, Louis J., Jr.",60,13,20,52,18,3,4,74,1,21,73,1,6
"13032","Kimble Pond",-93.842,44.2201,"minnesota","Umbanhowar, Charles E., Jr.",1910.5,6,0,8,65,0,2,135,0,166,6,0.5,0
"3455","Kirchner Marsh",-93.1249,44.7724,"minnesota","Wright, Herbert E., Jr.",22,0,0,11,2,0,0,221,0,13,53,0,0
"1524","Kitchner Lake",-87.455,45.666667,"michigan:north","Davis, Margaret B.",50,2,2,110,8,54,11,30,3,41,77,7,8
"1552","Kryzewinski Lake",-92.870278,46.353333,"minnesota","McAndrews, John H.",10,0,0,56,6,2,0,2,1,19,218,3,0
"1581","Lake 27",-84.783333,45.066667,"michigan:south","Bernabo, J. Christopher",20,2,24,39,13,63,23,20,0,5,121,2,0
"1584","Lake Ann",-93.6875,45.425,"minnesota","McAndrews, John H.",50,10,0,32,15,1,8,129,0,55,95,3,5
"1588","Lake Carlson",-93.1617,44.8009,"minnesota","Wright, Herbert E., Jr.",45,6,0,20,9,0,2,258,0,25,17,2,0
"12004","Last Lake",-95.2438,45.4519,"minnesota","Alwin, Baird C.",30,5,0,24,9,0,0,108,0,56,16,0,0
"1629","Lewis Lake",-93.364167,45.749444,"minnesota","McAndrews, John H.",30,8,0,36,8,0,4,60,0,51,143,0,10
"1633","Lily Lake (US:Minnesota)",-92.825,45.05,"minnesota","Eyster-Smith, Nancy M.",1325,3,0,18,10,0,9,81,0,34,76,4,2
"1639","Little Bass Lake",-93.6,47.283333,"minnesota","Swain, Patricia C.",1300,1,0,75,0,0,1,11,3,34,192,11,3
"1643","Little Pine Lake",-91.483333,45.283333,"wisconsin","Gajewski, Konrad J.",140,3,0,104,3,5,15,78,0,56,188,8,2
"3482","Lake of the Clouds (US:Minnesota)",-91.116667,48,"minnesota","Craig, Alan J.",42,4,0,30,0,1,1,8,0,69,183,13,2
"3483","Lake of the Clouds (US:Minnesota)",-91.116667,48,"minnesota","Swain, Albert M.",8,3,0,182,2,7,4,16,8,202,1032,88,14
"1665","Lost Lake (US:Michigan)",-87.97,46.72,"michigan:north","Brubaker, Linda B.",10,1,0,125,6,14,15,14,5,38,187,15,1
"12001","Little Dollar Lake",-85.3096,46.1872,"michigan:north","Futyma, Richard P.",12,5,24,187,8,25,38,34,5.5,43,148.5,14,7
"12014","Lybeck Lake",-95.717,45.679,"minnesota","Cushing, Edward J.",55,2,0,16,6,0,1,47,0,20,52.5,2,0
"1708","Martin Pond",-94.933333,47.183333,"minnesota","McAndrews, John H.",20,4,0,53,7,0,1,21,1,36,218,2,1
"1720","McCraney Pond",-95.698056,47.178056,"minnesota","McAndrews, John H.",30,4,0,39,16,0,3,40,4,29,156,3,5
"1725","McNearny Lake",-84.958333,46.427222,"michigan:north","Shane, Linda C. K.",5.75,1,9,46,1,6,7,8,1,7,51,11,0
"3485","McNearny Lake",-84.958333,46.427222,"michigan:north","Shane, Linda C. K.",7.75,2,17,108,3,18,14,19,2,9,108,9,1
"3486","McNearny Lake",-84.958333,46.427222,"michigan:north","Shane, Linda C. K.",3.75,0,19,85,1,28,4,17,3,15,87,12,1
"1735","Lake Mendota",-89.416667,43.1,"wisconsin","Winkler, Marjorie Green",65.5,5,8,10,15,3,2,215,0,21,31,2,0
"1757","Lake Minnie",-95.01,47.24,"minnesota","McAndrews, John H.",40,1,0,17,1,1,0,7,2,7,275,5,3
"3492","Lake Minnie",-95.01,47.24,"minnesota","McAndrews, John H.",60,1,0,23,1,0,2,7,2,13,228,1,2
"12006","Monson Lake",-95.2897,45.33,"minnesota","Cushing, Edward J.",80,7,0,9,3,1,1,84.5,0,25,31,2.5,0
"12013","Mud Lake",-95.4657,45.8607,"minnesota","Cushing, Edward J.",60,4,0,17,15,0,16,71,0,53,15,0.5,0
"1777","Mud Lake (US:Minnesota:Blue Earth)",-93.830833,44.227222,"minnesota","McAndrews, John H.",40,6,0,13,25,0,2,218,0,37,31,0,0
"1778","Mud Lake (US:Minnesota:Hubbard)",-94.75,46.866667,"minnesota","Almendinger, John C.",50,1,0,31.5,10,0,1,23,4,37,359.5,10.5,2
"1781","Murphy Lake",-93.340556,44.711111,"minnesota","McAndrews, John H.",70,5,1,11,15,0,2,209,0,43,20,0,0
"1786","Myrtle Lake",-93.383333,47.983333,"minnesota","Janssen, C. Roel",186,4,0,148,5,1,2,32,14,55,449,76,37
