"x","y","region","water","Ash","Basswood","Beech","Birch","Elm","Fir","Hemlock","Hickory","Ironwood","Maple","Oak","Pine","Spruce","Tamarack","Walnut","Other hardwood","Black gum/sweet gum","Cedar/juniper","Poplar/tulip poplar"
13000,1294000,"minnesota",0,0.0359,0.031696,2.8e-05,0.010144,0.109344,0.001512,1.2e-05,1.6e-05,0.000724,0.008288,0.5502,0.00118,0.002212,0.00238,2e-05,0.00346,0,0.00032,0.242564
21000,1294000,"minnesota",0,0.015012,0.016576,8e-06,0.006536,0.045312,0.000724,4e-06,0,0.00034,0.003172,0.713112,0.00076,0.000792,0.001672,1.2e-05,0.001228,0,9.6e-05,0.194644
29000,1294000,"minnesota",0,0.009224,0.007276,0,0.0046,0.027248,0.000368,0,0,1e-04,0.001872,0.197372,0.000376,0.00056,0.000876,8e-06,6e-04,0,3.2e-05,0.749488
37000,1294000,"minnesota",0,0.005232,0.00594,0,0.005288,0.020728,0.00026,0,4e-06,1e-04,0.001836,0.28774,0.000308,0.000508,0.000928,0,0.000312,0,9.2e-05,0.670724
45000,1294000,"minnesota",0,0.004128,0.004292,0,0.004872,0.01866,0.000428,4e-06,0,8.4e-05,0.002268,0.138648,0.000496,0.000592,0.001248,4e-06,0.00034,0,6.8e-05,0.823868
53000,1294000,"minnesota",0,0.005308,0.00528,0,0.005984,0.022084,0.000632,0,4e-06,3.6e-05,0.002768,0.172296,0.001392,0.000968,0.002316,8e-06,0.000216,0,0.000108,0.7806
61000,1294000,"minnesota",0,0.00616,0.007476,2.4e-05,0.010584,0.026612,0.001412,1.2e-05,1.6e-05,0.000116,0.00388,0.45484,0.004048,0.001568,0.006232,8e-06,0.000392,0,0.000192,0.476428
69000,1294000,"minnesota",0,0.009936,0.015432,1.6e-05,0.030864,0.042472,0.003416,4e-06,8e-06,2e-04,0.007936,0.207748,0.017036,0.003616,0.011308,1.6e-05,0.000748,0,0.000336,0.648908
77000,1294000,"minnesota",0,0.02388,0.037608,5.6e-05,0.039552,0.082048,0.012808,4.4e-05,1.2e-05,0.000624,0.035696,0.132308,0.050096,0.014352,0.136296,5.6e-05,0.001172,8e-06,0.000756,0.432628
85000,1294000,"minnesota",0,0.017808,0.021128,1.6e-05,0.03688,0.090504,0.015828,1.2e-05,2e-05,0.000468,0.023048,0.042112,0.21786,0.02076,0.176416,4.4e-05,0.000968,4e-06,0.001056,0.335068
93000,1294000,"minnesota",0,0.008416,0.008284,3.2e-05,0.01492,0.035136,0.011356,1.2e-05,1.6e-05,0.00024,0.016444,0.010024,0.635468,0.029308,0.150936,2.4e-05,0.00042,0,0.00084,0.078124
101000,1294000,"minnesota",0,0.007248,0.006796,1.6e-05,0.01376,0.035952,0.01462,1.6e-05,0,0.000176,0.012172,0.00754,0.687996,0.02396,0.074336,4e-06,0.000268,0,0.001164,0.113976
109000,1294000,"minnesota",0,0.003576,0.00492,1.2e-05,0.014424,0.022472,0.01342,1.2e-05,0,0.000192,0.0219,0.01712,0.84276,0.013692,0.020964,1.2e-05,2e-04,0,0.001588,0.022736
117000,1294000,"minnesota",0,0.003112,0.004724,2e-05,0.020932,0.01124,0.010044,0,4e-06,0.000184,0.011288,0.022344,0.809436,0.0234,0.019696,8e-06,0.000164,0,0.002916,0.060488
125000,1294000,"minnesota",0,0.008332,0.007584,3.6e-05,0.090552,0.0318,0.02536,2e-05,1.2e-05,0.000704,0.015248,0.03092,0.49808,0.028468,0.076024,2.4e-05,0.000384,4e-06,0.015552,0.170896
133000,1294000,"minnesota",0,0.030184,0.014344,2.8e-05,0.194028,0.03524,0.051672,3.6e-05,1.6e-05,0.001156,0.013684,0.015456,0.099776,0.045704,0.2592,8.4e-05,0.000532,0,0.031792,0.207068
141000,1294000,"minnesota",0,0.00976,0.013052,4.4e-05,0.222992,0.031996,0.060108,4.8e-05,2e-05,0.000648,0.010956,0.006104,0.141428,0.09408,0.197396,5.6e-05,0.000424,4e-06,0.0829,0.127984
149000,1294000,"minnesota",0,0.00712,0.018416,3.6e-05,0.213792,0.025056,0.066516,3.2e-05,4e-06,0.000644,0.010472,0.004728,0.245392,0.067272,0.14582,6.8e-05,0.000528,0,0.102936,0.091168
157000,1294000,"minnesota",0,0.0064,0.01312,4.8e-05,0.202056,0.033092,0.047544,2.4e-05,8e-06,0.00078,0.017284,0.004164,0.203128,0.146836,0.135916,7.2e-05,0.00042,0,0.08422,0.104888
165000,1294000,"minnesota",0,0.00676,0.007496,3.6e-05,0.139724,0.039304,0.046644,2.4e-05,4e-06,0.000688,0.005636,0.009932,0.277396,0.130264,0.257308,3.6e-05,0.000488,0,0.039496,0.038764
173000,1294000,"minnesota",0,0.008088,0.0135,4.4e-05,0.105356,0.037672,0.05484,1.2e-05,1.6e-05,0.000652,0.004632,0.019236,0.084408,0.140084,0.342716,3.2e-05,0.00046,4e-06,0.052308,0.13594
181000,1294000,"minnesota",0,0.018528,0.017128,7.2e-05,0.16424,0.017732,0.076728,5.2e-05,2e-05,0.000968,0.005972,0.007328,0.04444,0.20998,0.277672,2.8e-05,0.000648,0,0.027384,0.13108
189000,1294000,"minnesota",0,0.019052,0.012624,6.8e-05,0.108776,0.016572,0.04836,1.6e-05,1.6e-05,0.001336,0.01018,0.004568,0.2926,0.141508,0.138804,6e-05,0.000692,0,0.078364,0.126404
197000,1294000,"minnesota",0,0.017228,0.007052,4e-06,0.07922,0.014952,0.028796,2e-05,4e-06,0.00036,0.008088,0.010268,0.261144,0.032188,0.193648,2.4e-05,0.00036,0,0.185148,0.161496
205000,1294000,"minnesota",0,0.050264,0.0104,8.4e-05,0.184048,0.031972,0.036852,0.000124,1.2e-05,0.000656,0.030844,0.003792,0.162656,0.06114,0.193816,6e-05,0.000632,8e-06,0.154328,0.078312
213000,1294000,"minnesota",0,0.033544,0.013528,3.2e-05,0.170964,0.026632,0.102176,6.4e-05,2.8e-05,0.000664,0.027592,0.002976,0.060432,0.1508,0.249032,4.8e-05,0.000504,0,0.086676,0.074308
