# stan_version_major = 2
# stan_version_minor = 1
# stan_version_patch = 0
# model = calibration_bigC_model
# method = sample (Default)
#   sample
#     num_samples = 2246 
#     num_warmup = 250
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 0 (Default)
# data
#   file = ../r/dump/cal_data_12taxa_upper_comp_v0.1.dump
# init = 2 (Default)
# random
#   seed = 56
# output
#   file = ../output/12taxa_upper_comp_v0.1_bigC_c1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_divergent__,phi.1,phi.2,phi.3,phi.4,phi.5,phi.6,phi.7,phi.8,phi.9,phi.10,phi.11,phi.12,psi,gamma
-7230.4,0.990813,0.0113122,4,0,78.333,35.0927,299.926,70.1321,60.7657,22.3768,83.1545,11.1396,107.802,300,92.0776,0.01,0.224918,0.233947
-7210.43,0.992535,0.0199942,2,0,78.1096,31.3811,299.926,68.5207,57.0249,25.0356,83.9123,15.7545,101.697,300,87.9099,0.01,0.208609,0.233709
-7202.27,0.986661,0.0351733,6,0,81.0223,30.6452,299.954,68.7578,55.5502,24.9508,86.2551,23.8641,111.309,299.736,96.7114,0.01,0.213251,0.241892
-7199.92,0.0698986,0.0603641,3,0,80.9584,41.4478,299.906,71.3257,55.0086,24.0438,82.8945,19.3325,106.557,299.665,96.4843,0.01,0.206675,0.23117
-7200.82,0.9954,0.0092193,4,0,69.9076,36.4633,299.908,67.4645,61.1467,25.8212,87.088,22.6418,103.101,299.681,85.6756,0.01,0.208391,0.224804
-7201.03,0.994055,0.0162159,3,0,68.8612,37.652,299.916,72.2684,61.8857,23.7425,83.3314,24.0506,106.003,299.696,82.5603,0.01,0.216939,0.241322
-7198.58,0.988864,0.0281695,2,0,79.4678,35.6392,299.918,65.4566,60.45,24.7421,83.6211,21.5118,105.777,299.722,99.2374,0.01,0.210991,0.234752
-7202.07,0.449839,0.0478702,1,0,80.8202,36.8762,299.922,69.8815,61.7824,24.5295,83.3738,21.8457,105.569,299.725,98.7933,0.01,0.203014,0.241544
-7200.21,0.987045,0.0204208,5,0,72.333,31.9467,299.851,68.8567,54.2917,25.755,86.1006,19.3138,103.642,299.52,88.5254,0.01,0.208195,0.215949
-7201.53,0.844505,0.0343393,6,0,72.2679,39.7928,299.847,66.2981,53.9499,21.4001,81.5984,19.6624,101.519,298.687,87.3859,0.01,0.218375,0.252356
-7199.21,0.740466,0.0400526,2,0,74.6905,39.4093,299.842,71.4758,59.6607,25.8391,88.6107,22.5104,104.985,298.996,92.5341,0.01,0.212345,0.248217
-7197.65,0.836111,0.0359573,4,0,73.4878,32.663,299.573,64.7042,57.8943,23.5261,86.0016,23.1858,103.31,298.46,93.6972,0.01,0.211802,0.221224
-7200.38,0.823715,0.0409572,5,0,78.6457,38.6866,299.614,77.7896,61.3146,23.3647,87.7578,22.0841,107.823,296.318,88.7395,0.01,0.213509,0.224048
-7203.05,0.794947,0.0451603,2,0,68.037,29.9236,299.738,58.8694,55.1297,23.4722,82.8392,18.7933,100.521,296.119,91.4584,0.01,0.218999,0.222478
-7200,0.56678,0.0463474,2,0,77.1025,36.4867,299.752,78.339,57.9128,24.142,83.5667,20.661,106.186,296.875,86.2845,0.01,0.216867,0.22233
-7198.83,1,0.0273547,2,0,78.7257,40.937,299.765,63.1859,55.1079,22.5927,83.2608,20.4714,105.353,296.364,98.5136,0.01,0.213296,0.242317
-7194.91,0.411806,0.0461013,4,0,76.2327,30.3981,299.603,71.1534,57.6937,25.1087,83.0025,19.766,107.513,297.855,94.5246,0.01,0.215369,0.240332
-7194.46,0.917087,0.0189203,6,0,76.8194,28.8263,299.001,67.7697,61.6409,22.5264,82.6201,20.3952,104.21,289.717,86.8165,0.01,0.219092,0.23736
-7188.56,0.93432,0.0260617,4,0,79.986,42.6112,297.934,66.3274,57.1391,24.2142,83.7858,20.4069,105.936,296.818,88.691,0.01,0.210889,0.23133
-7185.46,0.850532,0.0372193,2,0,70.1431,35.3731,297.023,68.893,59.261,23.4617,83.646,20.6802,105.697,295.873,92.6264,0.01,0.210705,0.23615
-7186.14,0.38943,0.0434711,1,0,69.7823,38.909,296.844,67.4656,61.3707,23.4689,83.5071,20.1899,104.694,295.606,87.4894,0.01,0.213546,0.242904
-7185.49,0.947979,0.0173321,4,0,76.0262,41.8918,295.777,68.1576,54.8999,23.9255,84.8743,21.4654,108.242,296.045,90.5305,0.01,0.209415,0.243708
-7190.13,0.90649,0.0254216,4,0,74.0692,38.4665,294.599,66.2733,54.1908,22.0478,80.8449,25.1641,98.7472,295.327,81.7449,0.01,0.228425,0.225119
-7183.7,0.984016,0.0337261,3,0,76.7255,37.0292,293.178,69.6907,61.7192,22.4903,79.6107,16.8317,101.402,296.975,95.613,0.01,0.222886,0.233274
