# stan_version_major = 2
# stan_version_minor = 1
# stan_version_patch = 0
# model = calibration_pl_bigC_model
# method = sample (Default)
#   sample
#     num_samples = 300
#     num_warmup = 75
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 0 (Default)
# data
#   file = ../r/dump/cal_data_12taxa_mid_comp_v0.1.dump
# init = 2 (Default)
# random
#   seed = 42
# output
#   file = ../output/12taxa_mid_comp_v0.1_pl_bigC.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_divergent__,phi.1,phi.2,phi.3,phi.4,phi.5,phi.6,phi.7,phi.8,phi.9,phi.10,phi.11,phi.12,gamma,a,b
-6190.5,0.458792,0.0486151,1,0,55.6671,29.5213,159.1,45.2831,42.8624,17.8172,56.1249,15.2729,71.1348,223.674,66.935,8.84476,0.0581543,0.0115253,2
-6191.5,0.964671,0.0198134,3,0,53.5592,30.4504,160.221,47.318,37.3755,17.5869,58.1954,15.9292,74.3692,212.827,68.8119,8.14578,0.0855881,0.0121627,2
-6195.43,0.915875,0.0327593,2,0,55.42,28.1961,165.473,47.1415,36.4355,16.9288,57.417,15.1689,69.6624,208.813,69.0907,8.29246,0.0838221,0.0113023,2
-6194.16,0.669275,0.0470484,1,0,55.4473,27.8864,159.922,50.1302,37.9166,16.7075,58.0428,15.7887,67.0315,209.007,67.1787,8.37887,0.0791301,0.0116464,2
-6194.68,0.985233,0.0345679,3,0,48.3115,30.3676,150.98,40.5716,40.5079,18.2139,54.5354,15.7853,71.5667,207.427,63.2739,7.59468,0.0774718,0.0117973,2
-6195.99,0.339623,0.0593717,2,0,61.7672,38.3141,168.118,51.4126,41.353,15.4669,62.0742,17.2279,76.3872,227.925,72.8047,8.34285,0.080565,0.0170077,2
-6190.81,0.987687,0.0182614,5,0,57.3981,25.0734,160.817,43.9138,38.3508,15.736,58.8019,16.6821,70.0025,223.157,64.9474,7.9889,0.0541471,0.0120053,2
-6192.28,0.915185,0.0314501,2,0,53.8267,25.1556,160.824,46.6035,36.1561,15.1465,58.1364,16.9685,70.8401,225.751,65.0465,7.60326,0.0559694,0.011773,2
-6190.17,0.915559,0.0444421,3,0,51.182,29.4926,153.886,44.8224,34.2768,15.2798,52.6306,15.1615,67.0804,201.852,62.0822,7.96612,0.10166,0.0164158,2
-6190.17,0.0740948,0.0625158,1,0,51.182,29.4926,153.886,44.8224,34.2768,15.2798,52.6306,15.1615,67.0804,201.852,62.0822,7.96612,0.10166,0.0164158,2
-6194.34,0.964199,0.0100739,4,0,55.3674,31.7726,145.266,45.4103,36.183,16.6716,55.9165,16.1778,66.9188,198.503,72.1208,7.87722,0.104096,0.0167494,2
-6189.62,0.999206,0.0161344,6,0,56.3184,23.7108,157.585,45.6588,44.3742,17.2351,59.3552,17.8403,69.8481,217.076,68.9968,8.51321,0.112875,0.0180088,2
-6191.45,0.900514,0.0280287,4,0,48.6435,19.7844,167.847,47.5332,39.2585,17.3193,59.0651,16.5749,76.2261,219.536,69.5305,10.0854,0.0989242,0.0170589,2
-6193.57,0.525021,0.0376857,2,0,51.4983,19.1637,156.709,44.9812,40.6004,17.8024,58.123,15.5229,67.4679,223.298,62.8006,8.57889,0.0982029,0.0196505,2
-6180.35,0.999041,0.0197835,7,0,59.9752,25.6511,169.851,47.6577,42.2646,18.0329,59.8369,17.6051,70.4963,222.149,63.1717,8.22024,0.077389,0.0116416,2
-6185.45,0.877997,0.0338707,3,0,57.5629,21.3127,166.58,45.4675,41.0855,16.3634,60.4653,16.0725,80.2662,231.866,68.8591,9.25935,0.0360867,0.0114584,2
-6178.32,0.971751,0.0427326,4,0,52.3368,21.4716,157.843,44.0628,38.9343,15.7232,58.3205,16.2238,73.1418,209.268,64.5401,8.46743,0.098784,0.0193433,2
-6175.85,0.115673,0.0675311,2,0,51.6257,27.359,152.68,44.6077,39.0437,18.2607,56.5489,17.1225,69.4147,208.171,64.7755,7.49978,0.108112,0.0175707,2
-6179.21,0.975438,0.0133294,3,0,54.1394,27.0863,159.321,42.1446,39.5176,14.5495,55.3752,17.2203,69.8986,215.492,69.5589,8.10822,0.0938153,0.0197808,2
-6181.15,0.924467,0.0212811,4,0,57.5705,35.579,163.07,50.5244,40.0173,14.4288,62.3926,17.4545,77.1636,232.83,70.4726,8.23309,0.0420737,0.011454,2
-6181.93,0.986932,0.0298824,3,0,61.8067,32.4058,162.91,50.2575,39.5364,14.6256,59.1936,17.7026,71.4562,228.21,71.1282,7.77707,0.0409328,0.00979519,2
-6181.08,0.866486,0.0484311,4,0,48.8945,31.807,158.151,45.605,36.9477,14.2535,55.7376,15.6692,74.7208,211.276,70.7118,8.47426,0.112313,0.0203571,2
-6176.21,0.839479,0.0587021,1,0,56.4374,32.5118,169.424,43.2692,39.7224,17.5071,56.4515,16.346,69.7639,220.983,68.8983,9.22737,0.103481,0.0159418,2
-6176.21,0.191043,0.06661,1,0,56.4374,32.5118,169.424,43.2692,39.7224,17.5071,56.4515,16.346,69.7639,220.983,68.8983,9.22737,0.103481,0.0159418,2
-6173.75,0.998249,0.016694,3,0,54.767,31.2904,161.671,45.194,40.9658,15.4285,58.2413,16.8373,74.6182,221.438,66.7678,8.86915,0.0933156,0.0138671,2
-6174.03,0.876666,0.027509,3,0,52.8538,32.579,149.623,45.9023,37.3594,17.8129,57.653,16.3024,72.2112,212.58,61.858,7.608,0.0652234,0.0134886,2
-6169.28,0.980549,0.0340624,6,0,55.0877,30.0241,168.966,50.6236,41.9666,15.7685,57.0273,16.4912,71.0386,220.858,72.2111,8.06189,0.0680821,0.0122495,2.00004
-6168.68,0.994132,0.0533057,1,0,60.8722,30.8395,162.729,48.5355,42.0148,16.3781,60.648,16.0517,78.1551,230.241,65.3564,7.83241,0.0695945,0.0129396,2.00004
-6168.68,0.0151096,0.0855349,0,0,60.8722,30.8395,162.729,48.5355,42.0148,16.3781,60.648,16.0517,78.1551,230.241,65.3564,7.83241,0.0695945,0.0129396,2.00004
-6172.23,0.98361,0.0150203,3,0,55.6726,36.0849,172.734,48.2143,34.5025,18.1213,58.5574,16.7745,73.476,231.047,64.84,8.45825,0.0702352,0.014608,2.00004
-6174.54,0.972544,0.0235786,3,0,58.7583,32.6428,170.175,49.3422,51.2639,17.4586,61.9049,17.38,76.4818,236.459,77.3826,9.68282,0.100757,0.0155232,2.00004
-6169.73,0.995633,0.0359092,2,0,51.1884,29.9193,172.161,47.4653,36.1957,17.6396,59.9581,17.0633,73.7218,227.827,66.917,8.68858,0.0895755,0.0168563,2.00004
-6174.39,0.569206,0.057257,3,0,63.756,29.532,168.527,51.0444,48.7314,18.0424,60.8152,17.37,77.763,235.194,75.9017,8.88394,0.108406,0.0165911,2.00003
-6175.07,0.698431,0.0355258,4,0,44.9545,24.0043,147.777,47.5741,32.1384,16.185,54.9252,16.8407,66.6896,202.691,58.4171,8.35087,0.0542084,0.0119887,2.00008
-6169.6,0.922915,0.0294012,2,0,54.6927,25.9327,142.038,41.8189,35.418,16.0082,51.6772,15.0761,67.45,196.854,64.3874,8.94334,0.0602969,0.0128336,2.00008
-6167.67,0.890326,0.0397257,3,0,51.164,32.3663,147.266,44.4112,39.4928,15.6921,55.5484,15.0587,69.4602,202.111,62.2755,6.95285,0.064998,0.0128456,2.00013
-6167.18,0.46061,0.0498438,3,0,55.2235,30.3979,171.259,48.4383,41.5994,18.7341,59.816,15.1534,74.226,238.596,70.9274,8.15924,0.0684356,0.0124564,2.00031
-6171.74,0.896713,0.0247594,3,0,66.6488,38.6301,174.209,52.5897,43.8666,16.8796,63.0337,18.1021,81.9157,232.451,68.4028,9.12288,0.0785188,0.0131644,2.0003
-6173.4,0.976866,0.0314863,3,0,49.2077,37.4372,173.41,44.3679,41.5503,18.7821,60.9665,15.2419,76.1211,227.899,73.9922,8.99309,0.10243,0.0194547,2.00029
-6173.11,0.957573,0.047346,2,0,56.5124,38.0396,167.473,52.575,41.1828,17.113,61.5624,18.5634,76.7168,235.31,62.9514,7.78781,0.104795,0.0177946,2.00033
-6171.8,0.298349,0.0680331,1,0,50.0224,40.3876,166.806,49.9694,42.9625,18.5623,61.0332,18.6994,73.0612,229.609,66.2195,8.01652,0.101235,0.0176317,2.00034
-6171.93,0.998698,0.0243401,3,0,63.4661,44.58,167.81,45.6615,42.0575,16.7712,60.737,16.4605,73.579,222.015,73.5953,9.55207,0.0971332,0.0152028,2.00037
-6172.19,0.745897,0.0380937,3,0,53.0331,42.2641,170.932,50.6754,41.4397,18.6112,64.7164,17.097,79.6412,237.246,66.9011,7.66997,0.080791,0.016323,2.00029
-6173.69,0.817354,0.0350612,2,0,49.5685,36.4774,174.073,48.8727,44.3798,17.609,59.2841,18.0313,72.703,238.884,66.9214,7.23977,0.0659215,0.0138042,2.00026
-6171.3,0.981128,0.0374409,2,0,49.5755,39.1119,172.302,48.3787,44.252,16.8976,63.3736,18.6631,77.1656,240.797,71.4443,8.58463,0.0720541,0.0151544,2.00027
-6167.45,0.852797,0.0559684,2,0,48.5108,26.7421,162.26,46.5552,43.5498,16.2348,59.5376,17.6828,74.1469,223.991,68.3079,8.69905,0.0804611,0.0158049,2.00021
-6167.12,0.0429705,0.0640512,3,0,52.3044,22.1806,163.392,44.7804,42.1243,16.9884,60.0344,17.6434,71.4084,223.921,64.4125,8.65567,0.0780416,0.014123,2.00025
# Adaptation terminated
# Step size = 0.0349814
# Diagonal elements of inverse mass matrix:
# 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
-6167.72,0.957301,0.0349814,3,0,53.6263,40.8161,162.592,46.0347,42.021,18.0087,56.2704,17.7483,73.8613,228.103,65.404,8.59481,0.060562,0.0132119,2.00052
-6166.86,0.992477,0.0349814,3,0,57.877,28.727,160.103,43.3661,38.0735,16.3301,59.5874,14.8435,71.274,215.233,71.0506,8.34195,0.0641612,0.0110521,2.00051
-6164.1,0.723508,0.0349814,2,0,51.5141,31.2025,152.608,47.3779,40.6587,16.8598,55.2691,16.1923,69.1075,208.697,61.3665,7.42068,0.0697926,0.0137563,2.00066
-6165.51,0.781527,0.0349814,2,0,55.8786,29.5514,161.998,42.9141,38.7946,15.8347,56.5927,18.3609,72.6896,212.927,67.6601,8.65577,0.0756779,0.0122519,2.00072
-6164.04,0.794799,0.0349814,2,0,56.1343,26.4562,161.432,43.3609,39.7534,17.6271,56.3864,16.5483,71.0937,215.791,65.7759,7.50413,0.0774579,0.0126175,2.00065
-6167.84,0.558315,0.0349814,2,0,52.7121,25.6824,161.528,46.779,38.1516,19.3247,59.4164,16.9246,68.6984,214.725,68.311,7.77881,0.0764532,0.0129065,2.00061
-6167.77,0.878558,0.0349814,2,0,59.148,33.2926,164.24,50.3866,45.8873,16.2064,59.4986,15.3681,75.6962,233.229,69.8429,8.36714,0.0735577,0.0155505,2.00065
-6169.87,0.793073,0.0349814,2,0,56.398,25.0459,175.114,49.3025,38.054,19.407,63.3487,18.2984,79.1099,240.374,72.031,8.4412,0.0896659,0.0137392,2.00063
-6170.26,0.587007,0.0349814,2,0,54.9317,27.4743,170.796,50.1341,51.6667,17.6707,61.9039,16.7523,79.3592,238.313,71.4698,9.14629,0.0856278,0.014939,2.00054
-6167.57,0.982516,0.0349814,5,0,47.0415,26.5961,160.615,46.1697,35.3749,17.1831,56.7653,15.0311,70.5998,218.855,67.1385,7.50037,0.0596052,0.011187,2.02781
-6167.65,0.997218,0.0349814,3,0,58.79,30.1848,144.95,44.4484,42.8247,15.7897,54.5069,16.4511,67.1301,206.647,63.9336,8.62237,0.0472677,0.0121545,2.01915
-6166.49,0.992795,0.0349814,3,0,46.8661,30.098,155.446,45.0974,32.4375,16.7028,56.7064,15.4173,70.1293,215.897,64.6603,7.15821,0.0760721,0.0145935,2.02305
-6166.89,0.980883,0.0349814,2,0,63.8033,25.5266,160.803,46.3809,45.7558,16.6913,57.2266,16.6965,71.0911,215.127,67.6239,7.85105,0.0686155,0.0142805,2.01817
-6164.15,0.803419,0.0349814,2,0,56.8695,26.9408,154.08,44.1839,36.1274,16.3349,53.9446,18.3912,70.776,211.823,69.0356,8.01667,0.0687082,0.0149824,2.01718
-6162.46,0.959139,0.0349814,2,0,52.2719,30.069,163.91,48.0264,41.3555,17.3687,58.1352,13.8546,74.6402,222.19,63.5355,8.89716,0.0865686,0.0157796,2.02
-6163.84,0.768511,0.0349814,2,0,52.5865,27.7626,162.536,47.0618,39.4764,18.0091,57.3595,19.2897,72.1959,218.58,73.6885,8.30741,0.0891087,0.0146443,2.02513
-6165.44,0.932508,0.0349814,3,0,50.3989,35.0559,157.333,46.1002,37.9213,16.8226,57.1669,17.4393,71.1781,218.044,69.1541,8.95137,0.0391846,0.0112232,2.04737
-6172.09,0.51158,0.0349814,2,0,45.1055,38.1609,166.435,50.7332,40.2287,16.3328,59.2728,18.2143,72.1357,221.205,66.7111,9.03856,0.0441991,0.0112448,2.04721
-6170.32,0.95489,0.0349814,2,0,51.4021,37.1551,158.195,46.2512,43.3809,14.46,56.4491,17.2472,72.2864,219.575,73.8576,8.81193,0.0414552,0.0126755,2.04222
-6166.58,1,0.0349814,2,0,51.0662,32.5092,161.196,47.0174,39.2564,18.0133,58.6866,16.542,72.4218,225.184,59.4437,9.79272,0.0470714,0.012379,2.0358
-6172.17,0.642044,0.0349814,1,0,51.324,33.2083,167.79,43.5153,40.06,18.4626,56.7959,15.2577,68.9626,222.353,58.8386,9.34195,0.0444868,0.0133927,2.03551
-6167.18,1,0.0349814,2,0,55.9435,33.2125,152.185,48.8901,42.5634,16.0243,57.473,18.1039,75.4332,221.639,68.0872,9.24428,0.0503377,0.0118062,2.03343
-6166.51,0.695179,0.0349814,2,0,51.4537,30.2139,158.283,44.3385,36.2615,16.7008,60.7668,14.0819,71.1857,214.444,66.6667,7.43211,0.0584738,0.0139084,2.03555
-6165.22,0.912152,0.0349814,2,0,50.7271,29.2941,163.936,43.9497,37.6425,17.9512,56.8018,13.8077,70.7463,215.365,67.6779,7.77398,0.0593742,0.0143788,2.03458
-6164.47,0.947065,0.0349814,2,0,57.0151,33.7349,159.433,48.9841,40.8212,15.7825,55.2597,18.2786,71.3573,211.082,63.8699,9.29866,0.0774278,0.0153287,2.03606
-6163.31,0.747258,0.0349814,2,0,51.192,30.9177,158.821,42.7534,38.1223,17.9269,58.0467,14.8511,73.4214,217.751,69.3053,7.31084,0.0891798,0.0177784,2.03757
-6164.87,0.818946,0.0349814,2,0,59.3524,28.3363,158.792,46.3341,39.4882,15.3796,58.4033,18.8085,70.5903,219.956,62.092,9.02736,0.078807,0.017297,2.03697
-6164.14,0.934143,0.0349814,2,0,49.9259,35.3612,157.236,45.9297,36.541,16.4159,55.9973,16.3782,70.5745,215.447,59.2967,7.00318,0.074812,0.0162273,2.04125
-6162.24,0.811064,0.0349814,2,0,53.8316,32.6556,160.039,43.385,40.4463,15.9925,58.1172,14.3272,70.9831,221.255,64.626,7.72917,0.0815681,0.0165742,2.04215
-6166.94,0.651615,0.0349814,3,0,55.1342,33.1836,163.979,46.9365,39.0911,18.1898,59.7335,18.4134,69.4559,212.752,68.9483,9.33998,0.111094,0.0211415,2.05372
-6165.87,0.886272,0.0349814,2,0,52.5665,31.6553,153.772,44.5139,41.4316,15.4707,58.4389,15.1588,71.4012,219.72,66.9627,7.69923,0.106141,0.0221853,2.04461
-6163.99,1,0.0349814,3,0,51.9054,32.5952,156.811,44.3586,42.214,15.1717,57.8227,17.2883,69.3297,216.166,68.8764,9.27476,0.0679391,0.0141742,2.05641
-6165.79,0.976059,0.0349814,2,0,56.1197,24.1307,152.132,45.1183,36.2512,18.96,54.9558,14.5974,70.3517,216.576,64.5515,7.20047,0.0831511,0.0177977,2.04681
-6166.05,0.994878,0.0349814,2,0,50.8832,22.447,158.32,44.5192,39.1517,14.4542,53.9998,17.0613,69.3526,208.355,70.4919,8.31894,0.0758747,0.0141815,2.04728
-6166.02,0.804821,0.0349814,2,0,52.2233,20.5832,141.454,43.7713,36.2344,17.7935,53.1959,14.7615,66.2198,199.559,57.7361,8.29488,0.0844566,0.0186407,2.04998
-6165.14,0.913206,0.0349814,3,0,50.7231,28.7664,149.241,39.923,36.7494,14.6949,52.3721,15.8228,67.8179,203,68.5865,7.57234,0.0769386,0.0155594,2.0691
-6164.91,0.751948,0.0349814,2,0,48.2479,31.9467,149.911,42.5968,36.0417,16.5697,53.8761,15.5431,63.5817,201.821,65.0407,9.17922,0.0738577,0.0160426,2.0716
