# stan_version_major = 2
# stan_version_minor = 1
# stan_version_patch = 0
# model = calibration_bigC_model
# method = sample (Default)
#   sample
#     num_samples = 10000
#     num_warmup = 250
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 0 (Default)
# data
#   file = ../r/dump/cal_data_12taxa_lower_comp_v0.1.dump
# init = 2 (Default)
# random
#   seed = 42
# output
#   file = ../output/12taxa_lower_comp_v0.1_bigC_c1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_divergent__,phi.1,phi.2,phi.3,phi.4,phi.5,phi.6,phi.7,phi.8,phi.9,phi.10,phi.11,phi.12,psi,gamma
-6236.89,0.996283,0.0189774,2,0,62.2172,17.2016,99.5679,54.862,19.5079,16.2827,43.5737,10.0417,50.7953,113.214,43.7449,4.74932,0.21614,0.212106
-6235.78,0.810973,0.0340604,2,0,57.4553,15.8922,93.7192,51.9343,19.7257,15.587,46.9307,11.0283,51.3592,115.76,41.6932,4.21228,0.195306,0.176308
-6235.73,0.93135,0.0367533,2,0,54.0307,14.6215,102.465,49.3489,19.8918,14.0331,45.5823,12.9954,52.3532,111.895,47.647,4.95929,0.207876,0.211449
-6238.45,0.524986,0.0546341,1,0,57.8943,14.1742,99.945,53.0932,22.6624,13.3439,45.5604,13.8065,53.5146,122.089,43.8851,5.12384,0.208791,0.196902
-6235.6,1,0.0274836,3,0,58.9295,13.918,90.4648,47.2508,17.769,16.3315,41.9225,10.365,47.5292,106.647,43.181,4.58325,0.207031,0.210854
-6232.54,0.814882,0.0487315,2,0,56.351,16.43,97.4184,50.9909,20.7329,15.8217,44.2729,13.2189,51.948,115.944,42.8484,4.54304,0.202068,0.202973
-6232.54,0.600353,0.0528262,1,0,56.351,16.43,97.4184,50.9909,20.7329,15.8217,44.2729,13.2189,51.948,115.944,42.8484,4.54304,0.202068,0.202973
-6233.56,0.962711,0.0328192,2,0,57.907,16.4295,95.8973,46.2415,17.3253,14.0448,44.522,11.7042,50.409,112.613,39.0553,4.52461,0.204137,0.18831
-6240.58,0.155392,0.052087,1,0,54.5126,17.2558,93.3282,46.29,16.1617,15.289,45.0826,14.8882,48.5485,109.172,39.0844,4.85813,0.198931,0.194786
-6245.67,0.957957,0.0104834,4,0,62.8337,18.8866,98.8111,54.7114,25.7463,14.667,49.7831,10.4986,58.8665,121.104,50.0831,4.92635,0.214302,0.215318
