# stan_version_major = 2
# stan_version_minor = 1
# stan_version_patch = 0
# model = calibration_vary_psi_EPs_model
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 250
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 0 (Default)
# data
#   file = ../r/dump/cal_data_12taxa_mid_comp_v0.1.dump
# init = 2 (Default)
# random
#   seed = 42
# output
#   file = ../output/12taxa_mid_comp_vary_psi_EPs_v0.3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_divergent__,phi.1,phi.2,phi.3,phi.4,phi.5,phi.6,phi.7,phi.8,phi.9,phi.10,phi.11,phi.12,gamma,log_psi.1,log_psi.2,log_psi.3,log_psi.4,log_psi.5,log_psi.6,log_psi.7,log_psi.8,log_psi.9,log_psi.10,log_psi.11,log_psi.12,mu_psi,sigma_psi,psi.1,psi.2,psi.3,psi.4,psi.5,psi.6,psi.7,psi.8,psi.9,psi.10,psi.11,psi.12
-6438.94,0.993951,0.0338407,2,0,68.3714,38.1835,239.647,55.7154,40.5322,22.9039,57.8778,18.0772,82.6731,176.955,70.9635,12.2632,0.220418,-0.722701,-1.65837,-0.418292,-0.246057,-1.61667,-0.62846,-1.02719,-0.673137,-0.807107,-1.94432,-1.068,0.064747,1.09164,2.20814,0.485439,0.190449,0.65817,0.781878,0.198559,0.533413,0.358011,0.510106,0.446147,0.143084,0.343694,1.06689
-6403.5,0.764813,0.0634069,1,0,64.9174,37.3013,233.243,52.867,39.7626,22.0873,54.4848,21.0754,83.6198,183.14,72.6282,11.8216,0.230006,-0.714265,-1.6181,-0.387157,-0.222587,-1.51466,-0.614976,-1.25915,-0.693862,-0.855093,-1.96377,-1.15378,0.0631025,1.06343,2.26119,0.489552,0.198274,0.678985,0.800445,0.219882,0.540654,0.283896,0.499643,0.425244,0.140328,0.315443,1.06514
-6359.46,0.727285,0.0580685,1,0,62.3029,35.1931,223.701,62.4828,44.6236,22.4478,52.8039,19.0533,82.445,175.282,70.3999,11.3076,0.196208,-0.875036,-1.60875,-0.472857,-0.223243,-1.46816,-0.555281,-1.60834,-0.713075,-0.893076,-1.92835,-1.13091,0.127588,1.21842,2.32304,0.416847,0.200138,0.623219,0.799921,0.23035,0.573911,0.200219,0.490135,0.409395,0.145388,0.322741,1.13609
-6314.15,0.795324,0.0476156,2,0,64.2219,26.3734,180.177,56.0599,31.0264,22.115,49.2138,18.3971,75.9127,178.886,61.4963,10.86,0.183472,-0.946758,-1.5186,-0.933321,0.00865799,-1.59459,-0.731089,-1.75999,-1.0366,-1.20977,-1.76651,-1.31916,0.201103,0.952962,2.46327,0.387997,0.219019,0.393245,1.0087,0.202991,0.481385,0.172046,0.354658,0.298267,0.170929,0.267359,1.22275
-6293.34,1,0.0485401,2,0,56.0658,25.162,144.813,51.1201,37.3197,19.0504,46.5422,15.7768,66.587,153.042,63.4264,9.90605,0.198806,-0.702505,-1.45149,-1.21163,-0.031663,-1.50235,-0.701274,-1.61126,-1.11001,-1.19339,-1.79926,-1.05766,0.165475,0.970553,2.98753,0.495343,0.23422,0.29771,0.968833,0.222607,0.495953,0.199637,0.329557,0.303193,0.165421,0.347269,1.17995
-6293.34,4.30211e-09,0.093194,0,1,56.0658,25.162,144.813,51.1201,37.3197,19.0504,46.5422,15.7768,66.587,153.042,63.4264,9.90605,0.198806,-0.702505,-1.45149,-1.21163,-0.031663,-1.50235,-0.701274,-1.61126,-1.11001,-1.19339,-1.79926,-1.05766,0.165475,0.970553,2.98753,0.495343,0.23422,0.29771,0.968833,0.222607,0.495953,0.199637,0.329557,0.303193,0.165421,0.347269,1.17995
-6287.45,0.999389,0.00838097,7,0,44.493,23.9578,149.48,48.34,35.5209,18.3337,44.0345,13.1587,67.7006,159.704,61.6135,9.51783,0.186153,-1.525,-1.19749,-1.32089,-0.710252,-1.57226,-0.899928,-1.71127,-2.00283,-1.10704,-1.81364,-1.25724,0.214525,0.31404,1.50416,0.21762,0.30195,0.266899,0.49152,0.207576,0.406599,0.180637,0.134953,0.330538,0.163059,0.284437,1.23927
-6284.21,0.957649,0.0162025,6,0,59.3558,19.9396,127.73,50.0229,36.9521,19.7709,50.4624,13.992,78.3823,181.276,65.5589,10.0509,0.196488,-1.27163,-1.16687,-1.93137,-0.868165,-1.5889,-0.973423,-1.57336,-2.07286,-1.02892,-1.87608,-1.33807,0.0133431,0.164638,1.73217,0.280374,0.311341,0.144949,0.419721,0.204149,0.377788,0.207347,0.125825,0.357393,0.15319,0.26235,1.01343
-6278.47,0.759898,0.0274028,4,0,58.8328,22.129,131.709,53.7056,32.6776,18.5226,46.0819,15.6717,70.5526,165.769,68.9011,9.91109,0.202804,-0.114705,-1.45967,-1.68309,0.136117,-1.60914,-1.16591,-1.7016,-1.27205,-0.985084,-1.77518,-1.12093,-0.154792,0.190812,1.39126,0.891629,0.232313,0.185799,1.14582,0.20006,0.31164,0.182392,0.280257,0.373408,0.169452,0.325977,0.856593
-6271.92,0.998345,0.0255232,4,0,60.7979,23.2376,131.263,55.9167,32.5656,20.0189,46.9071,12.5112,71.6752,167.53,54.5845,9.89246,0.180285,-0.58141,-1.25069,-1.66106,0.120636,-1.56721,-0.559671,-1.64791,-1.65885,-1.11604,-1.89108,-1.48141,-0.147011,0.350865,1.73425,0.559109,0.286308,0.189937,1.12821,0.208627,0.571397,0.192452,0.190358,0.327574,0.150909,0.227317,0.863284
