# stan_version_major = 2
# stan_version_minor = 1
# stan_version_patch = 0
# model = calibration_bigC_model
# method = sample (Default)
#   sample
#     num_samples = 10000
#     num_warmup = 250
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 0 (Default)
# data
#   file = ../r/dump/cal_data_12taxa_mid_comp_v0.1.dump
# init = 2 (Default)
# random
#   seed = 121
# output
#   file = ../output/12taxa_mid_comp_v0.1_bigC_c3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_divergent__,phi.1,phi.2,phi.3,phi.4,phi.5,phi.6,phi.7,phi.8,phi.9,phi.10,phi.11,phi.12,psi,gamma
-6349.81,0.933497,0.0453446,1,0,48.5772,1.93588,127.023,34.2834,32.5859,15.3596,45.2225,14.0115,54.8072,156.914,50.0847,7.0212,0.228336,0.214447
-6349.81,0.208636,0.0681325,1,0,48.5772,1.93588,127.023,34.2834,32.5859,15.3596,45.2225,14.0115,54.8072,156.914,50.0847,7.0212,0.228336,0.214447
-6323.84,0.996147,0.0144303,4,0,41.6872,4.56046,118.94,39.2546,29.7514,13.237,44.8828,12.9243,53.8739,153.613,54.5208,7.38943,0.198034,0.210345
-6321.9,0.959666,0.0256995,2,0,43.6619,5.10354,120.122,33.689,31.3343,13.3925,41.0626,13.5157,53.2577,157.265,55.2863,6.56399,0.215481,0.195654
-6318.01,0.911201,0.0411633,2,0,43.7713,6.71837,127.051,43.7155,29.6211,15.5828,44.0329,15.2874,56.73,155.212,50.6135,8.43435,0.205978,0.22444
-6311.33,1,0.0576039,1,0,51.9404,7.83012,131.878,36.1963,34.9289,14.4809,45.5215,12.9007,60.0285,171.311,59.3063,7.1748,0.213941,0.194021
-6311.33,6.13394e-22,0.101076,0,0,51.9404,7.83012,131.878,36.1963,34.9289,14.4809,45.5215,12.9007,60.0285,171.311,59.3063,7.1748,0.213941,0.194021
-6299.52,0.999411,0.0132087,4,0,43.9253,13.9253,128.407,37.055,34.3481,16.0771,46.8778,16.4118,57.5263,169.274,50.9471,7.47932,0.21238,0.191168
-6295.78,0.994075,0.0231974,3,0,50.0511,17.6431,134.397,42.3959,34.2686,14.0749,49.4886,14.1558,64.5296,175.4,62.1669,8.68795,0.20231,0.223189
-6295.35,0.996423,0.0398392,2,0,47.5295,16.8731,127.17,42.8755,35.4046,16.9381,48.4805,15.5805,61.7978,170.435,52.4319,6.20924,0.204211,0.21602
-6295.35,0.00517424,0.0682579,0,0,47.5295,16.8731,127.17,42.8755,35.4046,16.9381,48.4805,15.5805,61.7978,170.435,52.4319,6.20924,0.204211,0.21602
-6292.92,0.996805,0.0096264,4,0,46.9454,19.4007,137.599,41.0628,33.4684,16.4274,47.2482,16.8017,59.2267,173.913,52.6293,7.58179,0.217662,0.221263
-6290.63,0.980374,0.0165446,3,0,49.1837,23.0158,128.769,42.4323,33.5041,16.2385,47.8408,14.3746,61.4925,169.409,52.3376,6.44288,0.207932,0.214198
-6290.11,0.988144,0.0270821,2,0,48.2478,21.8534,140.687,40.0397,35.9948,15.3465,48.614,16.2108,61.5464,179.971,59.2592,7.74719,0.204068,0.201121
-6290.89,0.743373,0.0448575,1,0,49.2178,22.8519,128.161,40.5391,33.678,15.4797,49.8254,15.1258,60.7947,180.583,59.8683,6.95318,0.204715,0.202255
-6291.52,0.969755,0.0405963,1,0,42.8349,22.9562,134.807,38.2514,32.4825,15.6472,47.0193,14.6575,59.491,173.955,56.3943,7.86874,0.199986,0.20372
-6291.52,0.000616941,0.0636526,1,0,42.8349,22.9562,134.807,38.2514,32.4825,15.6472,47.0193,14.6575,59.491,173.955,56.3943,7.86874,0.199986,0.20372
-6290.43,0.999157,0.00963628,4,0,51.5167,21.3327,125.074,41.5087,32.4504,15.1646,47.9127,13.8091,58.8695,170.058,59.1477,7.30766,0.209087,0.2062
-6290.91,0.901281,0.0162622,3,0,46.5026,27.9374,137.557,42.1076,32.4628,16.7631,46.9642,14.5128,61.658,174.46,58.0742,7.23025,0.21098,0.21428
-6296.46,0.862832,0.0215978,2,0,41.9989,30.624,139.899,44.8031,32.9812,15.8592,50.5142,14.3761,59.0666,173.564,57.0061,7.43233,0.206731,0.215191
-6294.39,0.946302,0.0260941,2,0,46.1965,29.1343,127.629,41.6575,34.2434,15.5501,47.3062,15.0702,60.3195,182.319,59.9467,7.49794,0.200693,0.207253
-6292.75,0.872802,0.0382279,2,0,44.6968,28.2721,134.538,40.7701,35.9019,16.4116,47.6978,14.8683,59.8763,181.343,61.1482,7.28927,0.203845,0.193662
-6291.86,0.542198,0.0469585,2,0,53.0478,22.318,135.081,38.8487,34.0582,15.1804,45.5395,14.8792,57.8451,173.857,54.6217,7.47366,0.214449,0.219706
-6292.6,0.868951,0.0267907,2,0,46.0759,23.2218,130.955,39.6009,33.7945,15.6414,50.2399,13.7499,60.0509,169.048,61.5666,6.37151,0.206296,0.213857
-6294.18,0.905841,0.032596,2,0,46.249,23.375,121.664,39.613,33.4879,14.6296,48.0123,14.8577,58.3976,161.765,51.1783,8.06118,0.213785,0.203539
-6293.84,0.911255,0.0430274,2,0,49.525,17.6968,131.05,40.3949,34.6333,16.058,49.114,14.4168,60.9212,168.429,60.5968,6.16974,0.199879,0.216763
-6293.84,0.153627,0.0572897,1,0,49.525,17.6968,131.05,40.3949,34.6333,16.058,49.114,14.4168,60.9212,168.429,60.5968,6.16974,0.199879,0.216763
-6296.79,0.906563,0.0137804,3,0,47.0567,16.5922,135.546,40.42,37.3236,15.8164,46.8032,12.0726,60.7052,174.216,61.4544,6.6324,0.219543,0.220206
-6292.82,0.993349,0.0182128,3,0,47.7375,23.6833,135.895,41.66,36.7605,13.8843,50.6571,16.6475,61.334,176.695,59.9851,7.41555,0.195597,0.20993
-6291.06,0.942883,0.0290977,2,0,50.8696,24.0609,137.557,42.0909,37.9873,15.5489,48.6098,15.5884,64.3588,180.388,53.9174,7.4589,0.215468,0.216871
-6292.81,0.90788,0.0413357,2,0,48.2783,21.3702,140.44,46.8915,34.4625,17.0951,49.9694,15.9725,61.8195,181.224,55.6533,8.19776,0.20319,0.21111
-6297.02,0.532795,0.0541343,2,0,54.1576,24.116,145.634,40.4959,42.7872,15.6132,51.2412,18.0244,66.1192,189.874,60.4781,6.96714,0.213697,0.220957
-6297.12,0.741182,0.0311092,2,0,45.3841,22.2739,139.907,45.009,33.455,16.6321,48.2663,13.4078,57.0718,179.446,60.7757,7.8035,0.19821,0.207754
-6295.12,1,0.0283024,2,0,51.1193,19.692,130.963,40.0625,33.0537,14.8773,48.9294,15.5296,65.3786,174.322,55.4688,6.63865,0.218016,0.206729
-6300.02,0.340966,0.0451013,1,0,54.6612,18.1877,143.76,40.6269,35.2193,16.746,46.5991,14.9572,58.5956,175.156,51.235,7.83805,0.223617,0.213284
-6301.31,0.99903,0.0173321,3,0,45.0832,14.2235,133.012,43.4792,34.5828,14.5382,49.6225,15.6632,61.7515,182.292,66.9198,6.88585,0.195225,0.193638
