# stan_version_major = 2
# stan_version_minor = 1
# stan_version_patch = 0
# model = calibration_vary_psi_bigC_model
# method = sample (Default)
#   sample
#     num_samples = 10000
#     num_warmup = 250
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 0 (Default)
# data
#   file = ../r/dump/cal_data_12taxa_mid_comp_v0.1.dump
# init = 2 (Default)
# random
#   seed = 121
# output
#   file = ../output/12taxa_mid_comp_v0.1_vary_psi_bigC_c1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_divergent__,phi.1,phi.2,phi.3,phi.4,phi.5,phi.6,phi.7,phi.8,phi.9,phi.10,phi.11,phi.12,psi.1,psi.2,psi.3,psi.4,psi.5,psi.6,psi.7,psi.8,psi.9,psi.10,psi.11,psi.12,gamma
-7221.51,0.938459,0.0093003,5,0,81.1476,24.8376,299.99,63.3822,41.6048,32.7565,62.8707,18.2346,100.763,299.998,92.322,0.0158288,1.32075,0.724041,1.60298,0.836117,0.186005,1.29254,0.177906,1.17574,1.7734,1.37491,1.41845,1.16717,0.219594
-7207.16,0.977993,0.0149363,3,0,76.8214,25.2722,299.989,64.4253,42.8722,26.4188,60.4415,16.8627,99.2536,299.998,83.7683,0.0168206,1.32685,0.71965,1.63515,0.773711,0.185004,1.30699,0.184703,1.18976,1.75701,1.36231,1.41747,1.20766,0.203516
-7158.77,0.833995,0.026872,3,0,75.7239,20.121,299.991,67.0896,41.263,26.3206,61.868,24.4683,105.585,299.998,87.1595,0.0249617,1.25558,0.587288,1.61867,0.732493,0.185267,1.4394,0.176645,0.909399,1.80445,1.32925,1.49797,1.21522,0.203916
-7155.23,0.755195,0.0312213,2,0,72.0998,20.4535,299.991,69.25,41.1838,26.9598,60.3824,23.5501,102.081,299.998,86.7862,0.0256112,1.24554,0.601465,1.62906,0.735346,0.187451,1.42289,0.174631,0.892982,1.80163,1.35881,1.49374,1.21045,0.205342
-7125.54,0.834785,0.028699,3,0,77.2389,23.1968,299.991,66.1095,41.6036,25.1562,63.0696,21.3212,104.371,299.998,88.5799,0.0323828,1.18468,0.590367,1.59517,0.708951,0.202564,1.37703,0.178088,0.795184,1.81804,1.35601,1.48612,1.195,0.205274
-7120.62,0.719025,0.0333919,2,0,75.7692,24.5467,299.99,64.4871,42.3828,26.1961,63.0967,22.2855,108.844,299.998,86.7899,0.0342534,1.17566,0.583955,1.60333,0.713988,0.201124,1.39187,0.176369,0.78594,1.81765,1.34506,1.4857,1.17343,0.205659
-7105.53,0.733634,0.0277012,2,0,73.2836,25.4371,299.991,61.5644,48.3968,26.6395,59.171,19.1399,102.769,299.998,88.0915,0.0403373,1.18046,0.634272,1.58183,0.698681,0.203467,1.37384,0.171014,0.749988,1.83376,1.36419,1.52185,1.22815,0.2031
-6719.73,0.927629,0.0240587,3,0,79.9852,21.1563,299.99,72.0305,38.8252,26.744,63.3131,21.9188,101.927,299.997,83.0124,1.32913,1.1967,0.382981,1.54924,0.784609,0.218813,1.357,0.181386,0.421231,1.7823,1.23374,1.56186,1.19854,0.202965
-6568.85,0.842227,0.0364756,2,0,72.244,21.2027,299.99,61.2441,50.43,25.6008,62.5497,19.2095,104.397,299.996,93.4449,9.95302,1.00743,0.2935,1.59966,0.630071,0.214615,1.35355,0.169837,0.378194,1.74086,1.24741,1.57736,1.11223,0.20628
-6476.72,0.925611,0.0431254,6,0,77.4872,40.3213,234.809,78.4615,58.014,28.4732,78.59,22.4595,90.5943,299.976,105.366,14.9967,0.178618,0.2671,0.220914,0.792185,0.204711,0.354365,0.172686,0.171026,0.100004,0.199887,0.166912,1.89901,0.237334
